Player,Games,RecTD,RshTD,TotalTouchdowns
Brodney Pool,16.0,0.0,0.0,0.0
Bruce Carter,13.0,0.0,0.0,0.0
Bruce Davis,14.0,2.0,0.0,2.0
Bruce Ellington,31.0,5.0,1.0,6.0
Bruce Irvin,28.0,0.0,0.0,0.0
Bruce Johnson,16.0,0.0,0.0,0.0
Bruce Miller,47.0,3.0,1.0,4.0
Bruce Taylor,28.0,0.0,0.0,0.0
Bryan Scott,32.0,0.0,0.0,0.0
Bryant Johnson,139.0,16.0,0.0,16.0
Bryant McFadden,13.0,0.0,0.0,0.0
Bryce Petty,6.0,0.0,0.0,0.0
Bubba Franks,98.0,32.0,0.0,32.0
Budda Baker,14.0,0.0,0.0,0.0
Byron Jones,16.0,0.0,0.0,0.0
Byron Leftwich,53.0,0.0,10.0,10.0
Byron Pringle,57.0,9.0,0.0,9.0
C.J. Anderson,64.0,5.0,22.0,27.0
C.J. Beathard,13.0,0.0,4.0,4.0
C.J. Fiedorowicz,46.0,6.0,0.0,6.0
C.J. Prosise,25.0,1.0,2.0,3.0
C.J. Spiller,89.0,9.0,12.0,21.0
Cadillac Williams,81.0,4.0,21.0,25.0
Cairo Santos,116.0,0.0,0.0,0.0
Calais Campbell,48.0,0.0,0.0,0.0
Caleb Sturgis,68.0,0.0,0.0,0.0
Calvin Johnson,89.0,50.0,1.0,51.0
Calvin Pace,16.0,0.0,0.0,0.0
Calvin Ridley,49.0,28.0,0.0,28.0
Cam Newton,130.0,1.0,65.0,66.0
Cameron Artis-Payne,32.0,0.0,5.0,5.0
Cameron Wake,24.0,0.0,0.0,0.0
Captain Munnerlyn,64.0,0.0,0.0,0.0
Caraun Reid,21.0,0.0,0.0,0.0
Carlos Dunlap,42.0,0.0,0.0,0.0
Carlos Hyde,102.0,3.0,37.0,40.0
Carlos Polk,10.0,0.0,0.0,0.0
Carlos Rogers,39.0,0.0,0.0,0.0
Carlos Watkins,15.0,0.0,0.0,0.0
Carson Palmer,86.0,0.0,8.0,8.0
Carson Wentz,69.0,0.0,10.0,10.0
Case Keenum,59.0,0.0,6.0,6.0
Casey Crawford,11.0,1.0,0.0,1.0
Casey Hayward,65.0,0.0,0.0,0.0
Cato June,13.0,0.0,0.0,0.0
Cecil Sapp,16.0,1.0,2.0,3.0
Cecil Shorts,61.0,14.0,0.0,14.0
Cedric Benson,87.0,1.0,32.0,33.0
Cedric Griffin,16.0,0.0,0.0,0.0
Cedric Houston,20.0,0.0,7.0,7.0
Cedric Peerman,14.0,0.0,1.0,1.0
Cedric Thornton,32.0,0.0,0.0,0.0
Cethan Carter,15.0,1.0,0.0,1.0
Chad Greenway,32.0,0.0,0.0,0.0
Chad Hansen,5.0,1.0,0.0,1.0
Chad Henne,31.0,0.0,4.0,4.0
Chad Jackson,12.0,3.0,0.0,3.0
Chad Johnson,134.0,51.0,0.0,51.0
Chad Morton,47.0,1.0,0.0,1.0
Chad Pennington,63.0,0.0,7.0,7.0
Chad Simpson,25.0,0.0,3.0,3.0
Chad Williams,58.0,1.0,0.0,1.0
Chandler Jones,41.0,0.0,0.0,0.0
Chandon Sullivan,16.0,0.0,0.0,0.0
Chansi Stuckey,46.0,5.0,1.0,6.0
Charles Alexander,102.0,2.0,13.0,15.0
Charles Clay,114.0,24.0,1.0,25.0
Charles Davis,14.0,0.0,0.0,0.0
Charles Godfrey,15.0,0.0,0.0,0.0
Charles Grant,24.0,0.0,0.0,0.0
Charles Johnson,114.0,26.0,0.0,26.0
Charles Lee,15.0,3.0,0.0,3.0
Charles Rogers,14.0,4.0,0.0,4.0
Charles Sims,47.0,6.0,2.0,8.0
Charles Stackhouse,16.0,3.0,0.0,3.0
Charles Tillman,75.0,0.0,0.0,0.0
Charlie Frye,20.0,0.0,4.0,4.0
Charlie Peprah,16.0,0.0,0.0,0.0
Charlie Whitehurst,8.0,0.0,2.0,2.0
Charone Peake,15.0,0.0,0.0,0.0
Chase Coffman,15.0,2.0,0.0,2.0
Chase Edmonds,70.0,6.0,11.0,17.0
Chastin West,12.0,2.0,0.0,2.0
Chauncey Davis,32.0,0.0,0.0,0.0
Chester Taylor,151.0,6.0,26.0,32.0
Chevis Jackson,16.0,0.0,0.0,0.0
Chris Boswell,116.0,0.0,0.0,0.0
Chris Canty,16.0,0.0,0.0,0.0
Chris Carson,49.0,7.0,24.0,31.0
Chris Chambers,153.0,58.0,0.0,58.0
Chris Combs,16.0,1.0,0.0,1.0
Chris Conley,79.0,15.0,0.0,15.0
Chris Conte,14.0,0.0,0.0,0.0
Chris Cooley,103.0,33.0,0.0,33.0
Chris Culliver,14.0,0.0,0.0,0.0
Chris Gamble,46.0,0.0,0.0,0.0
Chris Givens,44.0,5.0,0.0,5.0
Chris Gocong,16.0,0.0,0.0,0.0
Chris Godwin,87.0,32.0,1.0,33.0
Chris Gragg,19.0,2.0,0.0,2.0
Chris Herndon,48.0,8.0,0.0,8.0
Chris Hope,32.0,1.0,0.0,1.0
Chris Houston,30.0,0.0,0.0,0.0
